save_name,location,int_decode,intervention_combo,year,type,value
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,1,Incidence,6.80795194349646e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,2,Incidence,6.80941815437518e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,3,Incidence,6.81087918829512e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,4,Incidence,6.8123356202713e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,5,Incidence,6.81378793280582e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,6,Incidence,6.81523653186717e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,7,Incidence,6.81668176003253e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,8,Incidence,6.81812390730353e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,9,Incidence,6.81956322001053e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,10,Incidence,6.82099990814829e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,11,Incidence,6.82243415142328e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,12,Incidence,6.82386610424281e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,13,Incidence,6.82529589983476e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,14,Incidence,6.98547756882918e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,15,Incidence,6.94105393906017e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,16,Incidence,6.90460093895437e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,17,Incidence,6.87507203193292e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,18,Incidence,6.85120493815702e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,19,Incidence,6.83196747937532e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,20,Incidence,6.81651562613943e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,21,Incidence,6.80415919753872e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,22,Incidence,6.79433381475074e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,23,Incidence,6.78657796819037e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,24,Incidence,6.78051426585695e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,25,Incidence,6.77583409936988e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,26,Incidence,6.77228510734356e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,27,Incidence,6.76965946565042e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,28,Incidence,6.73791440778216e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,29,Incidence,6.48818701494794e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,30,Incidence,6.15613522918953e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,31,Incidence,5.77941694021573e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,32,Incidence,5.38435249381235e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,33,Incidence,4.98980673738603e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,34,Incidence,4.60848980818173e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,35,Incidence,4.24848447655864e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,36,Incidence,3.91449673455598e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,37,Incidence,3.60881781007363e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,38,Incidence,3.33204924555245e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,39,Incidence,3.08364406757116e-06
1eDnkq2GtK_loc1_loop1,1,ITN 0%/IRS 0%/Larvicide 0%,0;0.4;0.4_0;0;0_0;0;0_-100;2;5475_-100;2;5475_-100;2;5475,40,Incidence,2.86230668860957e-06
