save_name,location,int_decode,intervention_combo,year,type,value
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,1,Incidence,6.80795194349647e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,2,Incidence,6.80941815437519e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,3,Incidence,6.81087918829513e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,4,Incidence,6.81233562027131e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,5,Incidence,6.81378793280583e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,6,Incidence,6.81523653186718e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,7,Incidence,6.81668176003254e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,8,Incidence,6.81812390730354e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,9,Incidence,6.81956322001053e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,10,Incidence,6.82099990814828e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,11,Incidence,6.82243415142329e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,12,Incidence,5.99907334925161e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,13,Incidence,6.00320397527407e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,14,Incidence,5.79776265978485e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,15,Incidence,5.76492380922423e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,16,Incidence,5.73864152387418e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,17,Incidence,5.71805888473302e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,18,Incidence,5.70213815565995e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,19,Incidence,5.69003014593156e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,20,Incidence,5.68103995434061e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,21,Incidence,5.67459893874158e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,22,Incidence,5.67024177768452e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,23,Incidence,5.66758769934287e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,24,Incidence,5.66632512076053e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,25,Incidence,5.66619907698493e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,26,Incidence,5.66700093560177e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,27,Incidence,5.66855875844026e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,28,Incidence,5.64570133156685e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,29,Incidence,5.44002724005909e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,30,Incidence,5.16499388136251e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,31,Incidence,4.85208347385591e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,32,Incidence,4.52333697849039e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,33,Incidence,4.19458576062105e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,34,Incidence,3.87652496682645e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,35,Incidence,3.57598209392922e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,36,Incidence,3.29695761212985e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,37,Incidence,3.04142655982432e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,38,Incidence,2.80994351438352e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,39,Incidence,2.60209475512555e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,40,Incidence,2.41683290760018e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,41,Incidence,2.20527143782687e-06
sWGhc5aNy3_loc1_loop1,1,ITN 0%/IRS 80%/Larvicide 40%,0;0.4;0.4_0;0;0.8_0;0;0.4_-100;2;5475_-100;2;5475_-100;2;5475,42,Incidence,1.9994427462979e-06
